id,fold
TRAIN_00001,2
TRAIN_00002,2
TRAIN_00003,4
TRAIN_00004,3
TRAIN_00005,3
TRAIN_00006,4
TRAIN_00007,0
TRAIN_00008,4
TRAIN_00009,1
TRAIN_00010,2
TRAIN_00011,4
TRAIN_00012,0
TRAIN_00013,3
TRAIN_00014,2
TRAIN_00015,2
TRAIN_00016,3
TRAIN_00017,0
TRAIN_00018,2
TRAIN_00019,3
TRAIN_00020,1
TRAIN_00021,4
TRAIN_00022,2
TRAIN_00023,3
TRAIN_00024,4
TRAIN_00025,0
TRAIN_00026,4
TRAIN_00027,3
TRAIN_00028,4
TRAIN_00029,3
TRAIN_00030,2
TRAIN_00031,0
TRAIN_00032,1
TRAIN_00033,0
TRAIN_00034,4
TRAIN_00035,0
TRAIN_00036,4
TRAIN_00037,1
TRAIN_00038,0
TRAIN_00039,2
TRAIN_00040,1
TRAIN_00041,4
TRAIN_00042,3
TRAIN_00043,2
TRAIN_00044,3
TRAIN_00045,4
TRAIN_00046,3
TRAIN_00047,4
TRAIN_00048,2
TRAIN_00049,0
TRAIN_00050,4
TRAIN_00051,0
TRAIN_00052,1
TRAIN_00053,4
TRAIN_00054,3
TRAIN_00055,1
TRAIN_00056,3
TRAIN_00057,1
TRAIN_00058,0
TRAIN_00059,4
TRAIN_00060,2
TRAIN_00061,4
TRAIN_00062,4
TRAIN_00063,4
TRAIN_00064,0
TRAIN_00065,3
TRAIN_00066,2
TRAIN_00067,1
TRAIN_00068,3
TRAIN_00069,0
TRAIN_00070,1
TRAIN_00071,1
TRAIN_00072,2
TRAIN_00073,0
TRAIN_00074,1
TRAIN_00075,0
TRAIN_00076,2
TRAIN_00077,4
TRAIN_00078,0
TRAIN_00079,3
TRAIN_00080,4
TRAIN_00081,1
TRAIN_00082,4
TRAIN_00083,1
TRAIN_00084,3
TRAIN_00085,1
TRAIN_00086,4
TRAIN_00087,2
TRAIN_00088,3
TRAIN_00089,2
TRAIN_00090,1
TRAIN_00091,0
TRAIN_00092,1
TRAIN_00093,0
TRAIN_00094,3
TRAIN_00095,3
TRAIN_00096,4
TRAIN_00097,1
TRAIN_00098,4
TRAIN_00099,0
TRAIN_00100,1
TRAIN_00101,2
TRAIN_00102,1
TRAIN_00103,0
TRAIN_00104,3
TRAIN_00105,1
TRAIN_00106,2
TRAIN_00107,1
TRAIN_00108,4
TRAIN_00109,0
TRAIN_00110,3
TRAIN_00111,2
TRAIN_00112,4
TRAIN_00113,1
TRAIN_00114,3
TRAIN_00115,3
TRAIN_00116,1
TRAIN_00117,2
TRAIN_00118,2
TRAIN_00119,1
TRAIN_00120,3
TRAIN_00121,3
TRAIN_00122,4
TRAIN_00123,2
TRAIN_00124,0
TRAIN_00125,1
TRAIN_00126,3
TRAIN_00127,2
TRAIN_00128,0
TRAIN_00129,4
TRAIN_00130,2
TRAIN_00131,0
TRAIN_00132,2
TRAIN_00133,3
TRAIN_00134,0
TRAIN_00135,1
TRAIN_00136,0
TRAIN_00137,4
TRAIN_00138,3
TRAIN_00139,3
TRAIN_00140,1
TRAIN_00141,1
TRAIN_00142,4
TRAIN_00143,0
TRAIN_00144,0
TRAIN_00145,0
TRAIN_00146,4
TRAIN_00147,0
TRAIN_00148,0
TRAIN_00149,1
TRAIN_00150,4
TRAIN_00151,0
TRAIN_00152,0
TRAIN_00153,4
TRAIN_00154,3
TRAIN_00155,2
TRAIN_00156,3
TRAIN_00157,1
TRAIN_00158,1
TRAIN_00159,0
TRAIN_00160,4
TRAIN_00161,1
TRAIN_00162,2
TRAIN_00163,2
TRAIN_00164,1
TRAIN_00165,4
TRAIN_00166,0
TRAIN_00167,2
TRAIN_00168,0
TRAIN_00169,3
TRAIN_00170,1
TRAIN_00171,2
TRAIN_00172,1
TRAIN_00173,1
TRAIN_00174,2
TRAIN_00175,1
TRAIN_00176,3
TRAIN_00177,0
TRAIN_00178,3
TRAIN_00179,0
TRAIN_00180,2
TRAIN_00181,4
TRAIN_00182,1
TRAIN_00183,3
TRAIN_00184,4
TRAIN_00185,4
TRAIN_00186,0
TRAIN_00187,0
TRAIN_00188,1
TRAIN_00189,2
TRAIN_00190,1
TRAIN_00191,0
TRAIN_00192,2
TRAIN_00193,0
TRAIN_00194,2
TRAIN_00195,0
TRAIN_00196,1
TRAIN_00197,3
TRAIN_00198,4
TRAIN_00199,2
TRAIN_00200,3
TRAIN_00201,4
TRAIN_00202,4
TRAIN_00203,3
TRAIN_00204,3
TRAIN_00205,4
TRAIN_00206,4
TRAIN_00207,2
TRAIN_00208,2
TRAIN_00209,0
TRAIN_00210,3
TRAIN_00211,1
TRAIN_00212,1
TRAIN_00213,1
TRAIN_00214,3
TRAIN_00215,0
TRAIN_00216,3
TRAIN_00217,3
TRAIN_00218,0
TRAIN_00219,3
TRAIN_00220,0
TRAIN_00221,3
TRAIN_00222,1
TRAIN_00223,3
TRAIN_00224,0
TRAIN_00225,4
TRAIN_00226,3
TRAIN_00227,0
TRAIN_00228,4
TRAIN_00229,4
TRAIN_00230,4
TRAIN_00231,3
TRAIN_00232,1
TRAIN_00233,1
TRAIN_00234,1
TRAIN_00235,0
TRAIN_00236,4
TRAIN_00237,3
TRAIN_00238,2
TRAIN_00239,2
TRAIN_00240,3
TRAIN_00241,2
TRAIN_00242,2
TRAIN_00243,2
TRAIN_00244,0
TRAIN_00245,0
TRAIN_00246,1
TRAIN_00247,4
TRAIN_00248,4
TRAIN_00249,0
TRAIN_00250,2
TRAIN_00251,2
TRAIN_00252,0
TRAIN_00253,4
TRAIN_00254,3
TRAIN_00255,4
TRAIN_00256,2
TRAIN_00257,3
TRAIN_00258,2
TRAIN_00259,4
TRAIN_00260,4
TRAIN_00261,3
TRAIN_00262,4
TRAIN_00263,4
TRAIN_00264,3
TRAIN_00265,3
TRAIN_00266,0
TRAIN_00267,3
TRAIN_00268,2
TRAIN_00269,3
TRAIN_00270,3
TRAIN_00271,2
TRAIN_00272,3
TRAIN_00273,2
TRAIN_00274,2
TRAIN_00275,1
TRAIN_00276,1
TRAIN_00277,1
TRAIN_00278,4
TRAIN_00279,0
TRAIN_00280,4
TRAIN_00281,2
TRAIN_00282,0
TRAIN_00283,2
TRAIN_00284,2
TRAIN_00285,3
TRAIN_00286,1
TRAIN_00287,0
TRAIN_00288,4
TRAIN_00289,3
TRAIN_00290,0
TRAIN_00291,0
TRAIN_00292,1
TRAIN_00293,1
TRAIN_00294,1
TRAIN_00295,2
TRAIN_00296,2
TRAIN_00297,1
TRAIN_00298,3
TRAIN_00299,1
TRAIN_00300,4
TRAIN_00301,4
TRAIN_00302,2
TRAIN_00303,1
TRAIN_00304,0
TRAIN_00305,3
TRAIN_00306,3
TRAIN_00307,4
TRAIN_00308,0
TRAIN_00309,4
TRAIN_00310,2
TRAIN_00311,1
TRAIN_00312,0
TRAIN_00313,3
TRAIN_00314,2
TRAIN_00315,4
TRAIN_00316,3
TRAIN_00317,4
TRAIN_00318,1
TRAIN_00319,4
TRAIN_00320,1
TRAIN_00321,0
TRAIN_00322,1
TRAIN_00323,0
TRAIN_00324,4
TRAIN_00325,1
TRAIN_00326,2
TRAIN_00327,1
TRAIN_00328,4
TRAIN_00329,4
TRAIN_00330,2
TRAIN_00331,0
TRAIN_00332,2
TRAIN_00333,0
TRAIN_00334,4
TRAIN_00335,2
TRAIN_00336,2
TRAIN_00337,1
TRAIN_00338,1
TRAIN_00339,3
TRAIN_00340,2
TRAIN_00341,3
TRAIN_00342,0
TRAIN_00343,3
TRAIN_00344,3
TRAIN_00345,3
TRAIN_00346,4
TRAIN_00347,4
TRAIN_00348,3
TRAIN_00349,0
TRAIN_00350,2
TRAIN_00351,1
TRAIN_00352,1
TRAIN_00353,1
TRAIN_00354,2
TRAIN_00355,0
TRAIN_00356,1
TRAIN_00357,1
TRAIN_00358,3
TRAIN_00359,4
TRAIN_00360,2
TRAIN_00361,4
TRAIN_00362,1
TRAIN_00363,2
TRAIN_00364,0
TRAIN_00365,0
TRAIN_00366,2
TRAIN_00367,0
TRAIN_00368,0
TRAIN_00369,2
TRAIN_00370,3
TRAIN_00371,2
TRAIN_00372,1
TRAIN_00373,0
TRAIN_00374,3
TRAIN_00375,1
TRAIN_00376,0
TRAIN_00377,3
TRAIN_00378,2
